send_id,campaign_id,campaign_name,customer_id,channel,message,sent_date,clicked,purchased
SEND000038,CMP03,Member Picks,C00602,email,Popular picks selected for you.,2025-06-21,true,false
SEND000039,CMP03,Member Picks,C00332,email,Popular picks selected for you.,2025-06-01,false,false
SEND000040,CMP04,Summer Essentials,C00683,ads,Simple essentials for warmer days.,2025-06-17,false,false
SEND000041,CMP02,Spring Refresh,C00347,ads,Refresh your routine for spring.,2025-03-23,false,false
SEND000042,CMP02,Spring Refresh,C00521,ads,Refresh your routine for spring.,2025-03-23,false,false
SEND000043,CMP07,Early Holiday,C00426,email,A head start on thoughtful gifting.,2025-11-03,false,false
SEND000044,CMP04,Summer Essentials,C00045,ads,Simple essentials for warmer days.,2025-07-24,false,false
SEND000045,CMP06,Autumn Edit,C00350,ads,Discover this season's useful upgrades.,2025-09-21,false,false
SEND000046,CMP06,Autumn Edit,C00213,ads,Discover this season's useful upgrades.,2025-09-27,false,false
SEND000047,CMP03,Member Picks,C00077,email,Popular picks selected for you.,2025-05-24,false,false
SEND000048,CMP07,Early Holiday,C00149,email,A head start on thoughtful gifting.,2025-11-29,false,false
SEND000049,CMP07,Early Holiday,C00779,email,A head start on thoughtful gifting.,2025-11-19,false,false
SEND000050,CMP07,Early Holiday,C00520,email,A head start on thoughtful gifting.,2025-11-24,false,false
SEND000051,CMP08,Holiday Highlights,C00166,ads,Explore customer favorites this holiday.,2025-12-11,false,false
SEND000052,CMP03,Member Picks,C00188,email,Popular picks selected for you.,2025-06-18,false,false
SEND000053,CMP01,New Year Reset,C00241,email,Start fresh with practical favorites.,2025-01-08,false,false
SEND000054,CMP02,Spring Refresh,C00011,ads,Refresh your routine for spring.,2025-04-01,false,false
SEND000055,CMP07,Early Holiday,C00846,email,A head start on thoughtful gifting.,2025-11-08,false,false
SEND000056,CMP06,Autumn Edit,C00684,ads,Discover this season's useful upgrades.,2025-09-15,true,false
SEND000057,CMP07,Early Holiday,C00013,email,A head start on thoughtful gifting.,2025-11-07,false,false
SEND000058,CMP06,Autumn Edit,C00466,ads,Discover this season's useful upgrades.,2025-09-26,false,false
SEND000059,CMP02,Spring Refresh,C00820,ads,Refresh your routine for spring.,2025-03-01,false,false
SEND000060,CMP03,Member Picks,C00223,email,Popular picks selected for you.,2025-05-31,false,false
SEND000061,CMP08,Holiday Highlights,C00179,ads,Explore customer favorites this holiday.,2025-11-20,false,false
SEND000062,CMP04,Summer Essentials,C00131,ads,Simple essentials for warmer days.,2025-07-14,true,false
SEND000063,CMP01,New Year Reset,C00155,email,Start fresh with practical favorites.,2025-01-16,false,false
SEND000064,CMP06,Autumn Edit,C00845,ads,Discover this season's useful upgrades.,2025-10-03,false,false
SEND000065,CMP04,Summer Essentials,C00343,ads,Simple essentials for warmer days.,2025-08-23,false,false
SEND000066,CMP03,Member Picks,C00953,email,Popular picks selected for you.,2025-06-02,false,true
SEND000067,CMP04,Summer Essentials,C00962,ads,Simple essentials for warmer days.,2025-08-21,false,false
SEND000068,CMP05,Back to Routine,C00962,email,Get back into your everyday rhythm.,2025-08-31,true,false
SEND000069,CMP06,Autumn Edit,C00870,ads,Discover this season's useful upgrades.,2025-10-08,false,false
SEND000070,CMP01,New Year Reset,C00504,email,Start fresh with practical favorites.,2025-02-15,false,false
SEND000071,CMP04,Summer Essentials,C00853,ads,Simple essentials for warmer days.,2025-08-02,false,false
SEND000072,CMP04,Summer Essentials,C00111,ads,Simple essentials for warmer days.,2025-06-20,false,false
SEND000073,CMP06,Autumn Edit,C00976,ads,Discover this season's useful upgrades.,2025-09-27,false,false
SEND000074,CMP04,Summer Essentials,C00826,ads,Simple essentials for warmer days.,2025-06-07,false,false
SEND000075,CMP03,Member Picks,C00069,email,Popular picks selected for you.,2025-06-14,false,false
SEND000076,CMP05,Back to Routine,C00638,email,Get back into your everyday rhythm.,2025-09-20,true,false
SEND000077,CMP04,Summer Essentials,C00614,ads,Simple essentials for warmer days.,2025-08-04,false,false
SEND000078,CMP02,Spring Refresh,C00336,ads,Refresh your routine for spring.,2025-03-18,false,false
SEND000079,CMP07,Early Holiday,C00252,email,A head start on thoughtful gifting.,2025-11-24,false,false
SEND000080,CMP03,Member Picks,C00141,email,Popular picks selected for you.,2025-05-09,false,false
SEND000081,CMP06,Autumn Edit,C00672,ads,Discover this season's useful upgrades.,2025-10-13,false,true
SEND000082,CMP03,Member Picks,C00878,email,Popular picks selected for you.,2025-06-06,false,false
SEND000083,CMP05,Back to Routine,C00688,email,Get back into your everyday rhythm.,2025-09-17,false,false
SEND000084,CMP07,Early Holiday,C00885,email,A head start on thoughtful gifting.,2025-11-03,false,false
SEND000085,CMP06,Autumn Edit,C00352,ads,Discover this season's useful upgrades.,2025-09-02,false,false
SEND000086,CMP02,Spring Refresh,C00597,ads,Refresh your routine for spring.,2025-04-14,false,false
SEND000087,CMP03,Member Picks,C00193,email,Popular picks selected for you.,2025-06-30,false,false
SEND000088,CMP04,Summer Essentials,C00374,ads,Simple essentials for warmer days.,2025-07-20,false,false
SEND000089,CMP08,Holiday Highlights,C00158,ads,Explore customer favorites this holiday.,2025-11-02,true,false
SEND000090,CMP01,New Year Reset,C00420,email,Start fresh with practical favorites.,2025-02-15,false,false
SEND000091,CMP03,Member Picks,C00001,email,Popular picks selected for you.,2025-05-02,false,false
SEND000092,CMP02,Spring Refresh,C00564,ads,Refresh your routine for spring.,2025-04-30,true,false
SEND000093,CMP08,Holiday Highlights,C00406,ads,Explore customer favorites this holiday.,2025-11-28,false,false
SEND000094,CMP04,Summer Essentials,C00455,ads,Simple essentials for warmer days.,2025-07-08,false,false
SEND000095,CMP08,Holiday Highlights,C00431,ads,Explore customer favorites this holiday.,2025-11-01,true,true
SEND000096,CMP06,Autumn Edit,C00416,ads,Discover this season's useful upgrades.,2025-10-02,false,false
SEND000097,CMP08,Holiday Highlights,C00501,ads,Explore customer favorites this holiday.,2025-11-03,false,false
SEND000098,CMP07,Early Holiday,C00078,email,A head start on thoughtful gifting.,2025-11-09,true,false
SEND000099,CMP07,Early Holiday,C00278,email,A head start on thoughtful gifting.,2025-11-29,false,false
SEND000100,CMP01,New Year Reset,C00677,email,Start fresh with practical favorites.,2025-02-18,false,false
SEND000101,CMP03,Member Picks,C00871,email,Popular picks selected for you.,2025-05-22,true,false
SEND000102,CMP07,Early Holiday,C00433,email,A head start on thoughtful gifting.,2025-11-05,false,false
SEND000103,CMP01,New Year Reset,C00703,email,Start fresh with practical favorites.,2025-02-06,true,true
SEND000104,CMP07,Early Holiday,C00301,email,A head start on thoughtful gifting.,2025-11-04,false,false
SEND000105,CMP01,New Year Reset,C00042,email,Start fresh with practical favorites.,2025-01-05,false,false
SEND000106,CMP04,Summer Essentials,C00462,ads,Simple essentials for warmer days.,2025-08-06,false,false
SEND000107,CMP04,Summer Essentials,C00727,ads,Simple essentials for warmer days.,2025-08-20,false,false
SEND000108,CMP04,Summer Essentials,C00587,ads,Simple essentials for warmer days.,2025-08-13,true,true
SEND000109,CMP06,Autumn Edit,C00110,ads,Discover this season's useful upgrades.,2025-10-31,false,false
SEND000110,CMP01,New Year Reset,C00206,email,Start fresh with practical favorites.,2025-01-23,false,false
SEND000111,CMP03,Member Picks,C00812,email,Popular picks selected for you.,2025-05-23,true,false
SEND000112,CMP04,Summer Essentials,C00043,ads,Simple essentials for warmer days.,2025-07-16,false,false
SEND000113,CMP05,Back to Routine,C00678,email,Get back into your everyday rhythm.,2025-08-05,false,false
SEND000114,CMP01,New Year Reset,C00841,email,Start fresh with practical favorites.,2025-02-16,false,false
SEND000115,CMP08,Holiday Highlights,C00727,ads,Explore customer favorites this holiday.,2025-12-14,false,true
SEND000116,CMP07,Early Holiday,C00648,email,A head start on thoughtful gifting.,2025-11-27,false,false
SEND000117,CMP02,Spring Refresh,C00858,ads,Refresh your routine for spring.,2025-04-27,false,false
SEND000118,CMP08,Holiday Highlights,C00578,ads,Explore customer favorites this holiday.,2025-12-06,false,false
SEND000119,CMP01,New Year Reset,C00200,email,Start fresh with practical favorites.,2025-02-03,false,false
SEND000120,CMP04,Summer Essentials,C00583,ads,Simple essentials for warmer days.,2025-08-21,false,true
SEND000121,CMP07,Early Holiday,C00395,email,A head start on thoughtful gifting.,2025-11-08,false,false
SEND000122,CMP02,Spring Refresh,C00317,ads,Refresh your routine for spring.,2025-04-05,false,false
SEND000123,CMP08,Holiday Highlights,C00833,ads,Explore customer favorites this holiday.,2025-12-03,false,false
SEND000124,CMP08,Holiday Highlights,C00464,ads,Explore customer favorites this holiday.,2025-11-05,false,false
SEND000125,CMP03,Member Picks,C00573,email,Popular picks selected for you.,2025-06-18,false,false
SEND000126,CMP06,Autumn Edit,C00455,ads,Discover this season's useful upgrades.,2025-10-22,true,false
SEND000127,CMP04,Summer Essentials,C00191,ads,Simple essentials for warmer days.,2025-08-26,false,false
SEND000128,CMP08,Holiday Highlights,C00543,ads,Explore customer favorites this holiday.,2025-11-08,false,false
SEND000129,CMP03,Member Picks,C00679,email,Popular picks selected for you.,2025-05-25,false,false
SEND000130,CMP05,Back to Routine,C00415,email,Get back into your everyday rhythm.,2025-09-06,false,false
SEND000131,CMP05,Back to Routine,C00712,email,Get back into your everyday rhythm.,2025-08-21,false,false
SEND000132,CMP05,Back to Routine,C00308,email,Get back into your everyday rhythm.,2025-09-13,false,false
SEND000133,CMP03,Member Picks,C00331,email,Popular picks selected for you.,2025-06-16,false,false
SEND000134,CMP02,Spring Refresh,C00725,ads,Refresh your routine for spring.,2025-04-22,false,false
SEND000135,CMP06,Autumn Edit,C00115,ads,Discover this season's useful upgrades.,2025-10-18,false,false
SEND000136,CMP02,Spring Refresh,C00353,ads,Refresh your routine for spring.,2025-03-21,false,false
SEND000137,CMP06,Autumn Edit,C00665,ads,Discover this season's useful upgrades.,2025-09-04,false,false
SEND000138,CMP04,Summer Essentials,C00994,ads,Simple essentials for warmer days.,2025-08-04,false,false
SEND000139,CMP06,Autumn Edit,C00445,ads,Discover this season's useful upgrades.,2025-10-15,false,false
SEND000140,CMP04,Summer Essentials,C00053,ads,Simple essentials for warmer days.,2025-08-20,false,false
SEND000141,CMP04,Summer Essentials,C00247,ads,Simple essentials for warmer days.,2025-08-09,false,false
SEND000142,CMP05,Back to Routine,C00142,email,Get back into your everyday rhythm.,2025-09-19,true,false
SEND000143,CMP06,Autumn Edit,C00895,ads,Discover this season's useful upgrades.,2025-10-17,false,false
SEND000144,CMP01,New Year Reset,C00197,email,Start fresh with practical favorites.,2025-02-22,false,false
SEND000145,CMP03,Member Picks,C00757,email,Popular picks selected for you.,2025-05-30,false,false
SEND000146,CMP03,Member Picks,C00792,email,Popular picks selected for you.,2025-06-15,false,false
SEND000147,CMP05,Back to Routine,C00474,email,Get back into your everyday rhythm.,2025-08-31,false,false
SEND000148,CMP08,Holiday Highlights,C00648,ads,Explore customer favorites this holiday.,2025-11-02,false,false
SEND000149,CMP08,Holiday Highlights,C00574,ads,Explore customer favorites this holiday.,2025-12-19,false,false
SEND000150,CMP04,Summer Essentials,C00889,ads,Simple essentials for warmer days.,2025-06-16,false,false
SEND000151,CMP03,Member Picks,C00093,email,Popular picks selected for you.,2025-06-29,false,false
SEND000152,CMP07,Early Holiday,C00888,email,A head start on thoughtful gifting.,2025-11-06,false,false
SEND000153,CMP06,Autumn Edit,C00934,ads,Discover this season's useful upgrades.,2025-09-18,false,false
SEND000154,CMP04,Summer Essentials,C00326,ads,Simple essentials for warmer days.,2025-06-11,true,false
SEND000155,CMP01,New Year Reset,C00231,email,Start fresh with practical favorites.,2025-01-13,false,false
SEND000156,CMP05,Back to Routine,C00335,email,Get back into your everyday rhythm.,2025-09-25,false,false
SEND000157,CMP07,Early Holiday,C00560,email,A head start on thoughtful gifting.,2025-11-12,false,false
SEND000158,CMP03,Member Picks,C00448,email,Popular picks selected for you.,2025-05-06,false,true
SEND000159,CMP03,Member Picks,C00428,email,Popular picks selected for you.,2025-06-24,false,false
SEND000160,CMP04,Summer Essentials,C00641,ads,Simple essentials for warmer days.,2025-07-09,true,false
SEND000161,CMP03,Member Picks,C00966,email,Popular picks selected for you.,2025-05-14,false,false
SEND000162,CMP05,Back to Routine,C00534,email,Get back into your everyday rhythm.,2025-08-26,false,false
SEND000163,CMP04,Summer Essentials,C00407,ads,Simple essentials for warmer days.,2025-07-02,false,false
SEND000164,CMP07,Early Holiday,C00162,email,A head start on thoughtful gifting.,2025-11-29,false,false
SEND000165,CMP07,Early Holiday,C00912,email,A head start on thoughtful gifting.,2025-11-10,false,false
SEND000166,CMP08,Holiday Highlights,C00684,ads,Explore customer favorites this holiday.,2025-11-19,false,false
SEND000167,CMP04,Summer Essentials,C00261,ads,Simple essentials for warmer days.,2025-08-27,false,false
SEND000168,CMP07,Early Holiday,C00101,email,A head start on thoughtful gifting.,2025-11-14,false,false
SEND000169,CMP05,Back to Routine,C00148,email,Get back into your everyday rhythm.,2025-08-24,false,true
SEND000170,CMP06,Autumn Edit,C00651,ads,Discover this season's useful upgrades.,2025-09-30,false,false
SEND000171,CMP06,Autumn Edit,C00917,ads,Discover this season's useful upgrades.,2025-09-05,true,false
SEND000172,CMP02,Spring Refresh,C00438,ads,Refresh your routine for spring.,2025-03-03,false,true
SEND000173,CMP01,New Year Reset,C00676,email,Start fresh with practical favorites.,2025-01-12,false,false
SEND000174,CMP02,Spring Refresh,C00653,ads,Refresh your routine for spring.,2025-03-29,false,false
SEND000175,CMP02,Spring Refresh,C00640,ads,Refresh your routine for spring.,2025-04-28,false,false
SEND000176,CMP02,Spring Refresh,C00285,ads,Refresh your routine for spring.,2025-03-02,false,false
SEND000177,CMP04,Summer Essentials,C00482,ads,Simple essentials for warmer days.,2025-06-19,false,false
SEND000178,CMP05,Back to Routine,C00700,email,Get back into your everyday rhythm.,2025-08-10,false,false
SEND000179,CMP05,Back to Routine,C00761,email,Get back into your everyday rhythm.,2025-09-24,false,false
SEND000180,CMP08,Holiday Highlights,C00016,ads,Explore customer favorites this holiday.,2025-12-19,false,false
SEND000181,CMP01,New Year Reset,C00675,email,Start fresh with practical favorites.,2025-01-23,false,false
SEND000182,CMP05,Back to Routine,C00097,email,Get back into your everyday rhythm.,2025-09-04,false,false
SEND000183,CMP02,Spring Refresh,C00512,ads,Refresh your routine for spring.,2025-03-17,false,false
SEND000184,CMP03,Member Picks,C00068,email,Popular picks selected for you.,2025-06-06,false,false
SEND000185,CMP03,Member Picks,C00777,email,Popular picks selected for you.,2025-05-11,false,false
SEND000186,CMP02,Spring Refresh,C00563,ads,Refresh your routine for spring.,2025-03-23,false,false
SEND000187,CMP06,Autumn Edit,C00697,ads,Discover this season's useful upgrades.,2025-09-09,false,true
SEND000188,CMP03,Member Picks,C00996,email,Popular picks selected for you.,2025-05-27,false,false
SEND000189,CMP01,New Year Reset,C00778,email,Start fresh with practical favorites.,2025-01-31,false,false
SEND000190,CMP02,Spring Refresh,C00615,ads,Refresh your routine for spring.,2025-03-15,false,false
SEND000191,CMP03,Member Picks,C00705,email,Popular picks selected for you.,2025-05-24,false,false
SEND000192,CMP03,Member Picks,C00834,email,Popular picks selected for you.,2025-06-20,false,false
SEND000193,CMP04,Summer Essentials,C00049,ads,Simple essentials for warmer days.,2025-08-01,false,false
SEND000194,CMP03,Member Picks,C00273,email,Popular picks selected for you.,2025-06-23,false,true
SEND000195,CMP01,New Year Reset,C00231,email,Start fresh with practical favorites.,2025-02-03,false,false
SEND000196,CMP04,Summer Essentials,C00672,ads,Simple essentials for warmer days.,2025-06-17,true,true
SEND000197,CMP01,New Year Reset,C00998,email,Start fresh with practical favorites.,2025-02-18,false,false
SEND000198,CMP06,Autumn Edit,C00109,ads,Discover this season's useful upgrades.,2025-10-08,false,false
SEND000199,CMP08,Holiday Highlights,C00478,ads,Explore customer favorites this holiday.,2025-11-11,false,false
SEND000200,CMP04,Summer Essentials,C00482,ads,Simple essentials for warmer days.,2025-08-12,true,false
SEND000201,CMP01,New Year Reset,C00875,email,Start fresh with practical favorites.,2025-01-02,false,false
SEND000202,CMP05,Back to Routine,C00517,email,Get back into your everyday rhythm.,2025-09-28,false,false
SEND000203,CMP08,Holiday Highlights,C00214,ads,Explore customer favorites this holiday.,2025-11-19,false,false
SEND000204,CMP03,Member Picks,C00454,email,Popular picks selected for you.,2025-05-15,false,false
SEND000205,CMP08,Holiday Highlights,C00815,ads,Explore customer favorites this holiday.,2025-11-17,true,true
SEND000206,CMP04,Summer Essentials,C00447,ads,Simple essentials for warmer days.,2025-08-04,false,false
SEND000207,CMP05,Back to Routine,C00695,email,Get back into your everyday rhythm.,2025-08-01,false,false
SEND000208,CMP03,Member Picks,C00019,email,Popular picks selected for you.,2025-05-26,false,false
SEND000209,CMP07,Early Holiday,C00136,email,A head start on thoughtful gifting.,2025-11-14,false,false
SEND000210,CMP02,Spring Refresh,C00759,ads,Refresh your routine for spring.,2025-03-28,false,false
SEND000211,CMP02,Spring Refresh,C00268,ads,Refresh your routine for spring.,2025-03-16,false,false
SEND000212,CMP04,Summer Essentials,C00850,ads,Simple essentials for warmer days.,2025-08-18,false,false
SEND000213,CMP06,Autumn Edit,C00247,ads,Discover this season's useful upgrades.,2025-09-09,false,false
SEND000214,CMP06,Autumn Edit,C00551,ads,Discover this season's useful upgrades.,2025-09-13,false,false
SEND000215,CMP01,New Year Reset,C00298,email,Start fresh with practical favorites.,2025-01-06,false,false
SEND000216,CMP08,Holiday Highlights,C00312,ads,Explore customer favorites this holiday.,2025-11-22,false,false
SEND000217,CMP08,Holiday Highlights,C00877,ads,Explore customer favorites this holiday.,2025-11-03,false,false
SEND000218,CMP08,Holiday Highlights,C00428,ads,Explore customer favorites this holiday.,2025-12-05,false,false
SEND000219,CMP06,Autumn Edit,C00881,ads,Discover this season's useful upgrades.,2025-10-07,false,false
SEND000220,CMP01,New Year Reset,C00952,email,Start fresh with practical favorites.,2025-02-12,false,false
SEND000221,CMP07,Early Holiday,C00931,email,A head start on thoughtful gifting.,2025-11-18,false,true
SEND000222,CMP01,New Year Reset,C00887,email,Start fresh with practical favorites.,2025-01-19,false,false
SEND000223,CMP05,Back to Routine,C00440,email,Get back into your everyday rhythm.,2025-09-26,false,false
SEND000224,CMP08,Holiday Highlights,C00107,ads,Explore customer favorites this holiday.,2025-12-13,true,false
SEND000225,CMP02,Spring Refresh,C00591,ads,Refresh your routine for spring.,2025-03-25,false,false
SEND000226,CMP02,Spring Refresh,C00782,ads,Refresh your routine for spring.,2025-03-08,false,false
SEND000227,CMP07,Early Holiday,C00940,email,A head start on thoughtful gifting.,2025-11-15,true,false
SEND000228,CMP03,Member Picks,C00489,email,Popular picks selected for you.,2025-06-05,false,false
SEND000229,CMP02,Spring Refresh,C00861,ads,Refresh your routine for spring.,2025-03-11,false,false
SEND000230,CMP06,Autumn Edit,C00522,ads,Discover this season's useful upgrades.,2025-10-29,false,false
SEND000231,CMP07,Early Holiday,C00640,email,A head start on thoughtful gifting.,2025-11-01,false,false
SEND000232,CMP06,Autumn Edit,C00574,ads,Discover this season's useful upgrades.,2025-10-27,false,false
SEND000233,CMP04,Summer Essentials,C00285,ads,Simple essentials for warmer days.,2025-07-29,false,false
SEND000234,CMP08,Holiday Highlights,C00414,ads,Explore customer favorites this holiday.,2025-11-02,false,false
SEND000235,CMP02,Spring Refresh,C00262,ads,Refresh your routine for spring.,2025-03-18,true,false
SEND000236,CMP08,Holiday Highlights,C00038,ads,Explore customer favorites this holiday.,2025-11-24,false,false
SEND000237,CMP07,Early Holiday,C00053,email,A head start on thoughtful gifting.,2025-11-10,true,false
SEND000238,CMP07,Early Holiday,C00163,email,A head start on thoughtful gifting.,2025-11-17,true,false
SEND000239,CMP05,Back to Routine,C00339,email,Get back into your everyday rhythm.,2025-08-10,false,false
SEND000240,CMP08,Holiday Highlights,C00729,ads,Explore customer favorites this holiday.,2025-12-07,false,false
SEND000241,CMP08,Holiday Highlights,C00817,ads,Explore customer favorites this holiday.,2025-12-15,false,false
SEND000242,CMP08,Holiday Highlights,C00283,ads,Explore customer favorites this holiday.,2025-12-17,false,false
SEND000243,CMP04,Summer Essentials,C00720,ads,Simple essentials for warmer days.,2025-08-25,true,false
SEND000244,CMP03,Member Picks,C00193,email,Popular picks selected for you.,2025-05-23,false,false
SEND000245,CMP08,Holiday Highlights,C00508,ads,Explore customer favorites this holiday.,2025-11-08,false,false
SEND000246,CMP08,Holiday Highlights,C00110,ads,Explore customer favorites this holiday.,2025-11-19,false,false
SEND000247,CMP06,Autumn Edit,C00162,ads,Discover this season's useful upgrades.,2025-09-25,true,false
SEND000248,CMP07,Early Holiday,C00102,email,A head start on thoughtful gifting.,2025-11-22,false,false
SEND000249,CMP08,Holiday Highlights,C00001,ads,Explore customer favorites this holiday.,2025-11-08,false,false
SEND000250,CMP08,Holiday Highlights,C00706,ads,Explore customer favorites this holiday.,2025-11-07,false,true
SEND000251,CMP05,Back to Routine,C00895,email,Get back into your everyday rhythm.,2025-08-12,false,false
SEND000252,CMP05,Back to Routine,C00025,email,Get back into your everyday rhythm.,2025-08-14,false,false
SEND000253,CMP07,Early Holiday,C00473,email,A head start on thoughtful gifting.,2025-11-05,false,true
SEND000254,CMP06,Autumn Edit,C00756,ads,Discover this season's useful upgrades.,2025-09-20,true,false
SEND000255,CMP02,Spring Refresh,C00589,ads,Refresh your routine for spring.,2025-03-21,false,false
SEND000256,CMP07,Early Holiday,C00344,email,A head start on thoughtful gifting.,2025-11-02,false,false
SEND000257,CMP01,New Year Reset,C00162,email,Start fresh with practical favorites.,2025-02-13,false,false
SEND000258,CMP06,Autumn Edit,C00328,ads,Discover this season's useful upgrades.,2025-09-03,false,false
SEND000259,CMP08,Holiday Highlights,C00031,ads,Explore customer favorites this holiday.,2025-11-15,false,false
SEND000260,CMP07,Early Holiday,C00836,email,A head start on thoughtful gifting.,2025-11-13,false,false
SEND000261,CMP04,Summer Essentials,C00333,ads,Simple essentials for warmer days.,2025-08-21,false,false
SEND000262,CMP07,Early Holiday,C00884,email,A head start on thoughtful gifting.,2025-11-19,false,false
SEND000263,CMP07,Early Holiday,C00513,email,A head start on thoughtful gifting.,2025-11-30,false,false
SEND000264,CMP04,Summer Essentials,C00070,ads,Simple essentials for warmer days.,2025-08-06,false,false
SEND000265,CMP08,Holiday Highlights,C00388,ads,Explore customer favorites this holiday.,2025-12-25,false,false
SEND000266,CMP06,Autumn Edit,C00366,ads,Discover this season's useful upgrades.,2025-10-24,false,true
SEND000267,CMP06,Autumn Edit,C00012,ads,Discover this season's useful upgrades.,2025-10-13,false,false
SEND000268,CMP06,Autumn Edit,C00638,ads,Discover this season's useful upgrades.,2025-09-03,false,false
SEND000269,CMP03,Member Picks,C00095,email,Popular picks selected for you.,2025-06-19,false,false
SEND000270,CMP07,Early Holiday,C00991,email,A head start on thoughtful gifting.,2025-11-21,false,false
SEND000271,CMP07,Early Holiday,C00896,email,A head start on thoughtful gifting.,2025-11-08,true,true
SEND000272,CMP06,Autumn Edit,C00682,ads,Discover this season's useful upgrades.,2025-09-05,false,false
SEND000273,CMP08,Holiday Highlights,C00774,ads,Explore customer favorites this holiday.,2025-12-15,true,false
SEND000274,CMP05,Back to Routine,C00534,email,Get back into your everyday rhythm.,2025-09-07,true,false
SEND000275,CMP05,Back to Routine,C00203,email,Get back into your everyday rhythm.,2025-09-18,false,false
SEND000276,CMP02,Spring Refresh,C00686,ads,Refresh your routine for spring.,2025-04-09,false,false
SEND000277,CMP07,Early Holiday,C00276,email,A head start on thoughtful gifting.,2025-11-25,false,false
SEND000278,CMP07,Early Holiday,C00962,email,A head start on thoughtful gifting.,2025-11-25,true,false
SEND000279,CMP05,Back to Routine,C00810,email,Get back into your everyday rhythm.,2025-09-27,false,false
SEND000280,CMP02,Spring Refresh,C00003,ads,Refresh your routine for spring.,2025-03-18,false,false
SEND000281,CMP05,Back to Routine,C00631,email,Get back into your everyday rhythm.,2025-08-03,false,false
SEND000282,CMP08,Holiday Highlights,C00253,ads,Explore customer favorites this holiday.,2025-12-20,false,false
