visit_id,customer_id,visit_date,traffic_source,product_id,product_viewed,added_to_cart,purchased
V000058,C00056,2025-01-10,referral,P025,Daily Lamp 25,false,false
V000059,C00197,2025-06-16,organic_search,P006,Active Mat 06,false,false
V000060,C00752,2025-06-24,email,P028,Essential Bag 28,false,false
V000061,C00137,2025-10-14,email,P001,Daily Lamp 01,true,false
V000062,C00378,2025-07-17,organic_search,P008,Modern Serum 08,false,false
V000063,C00406,2025-07-21,email,P029,Bright Organizer 29,false,false
V000064,C00119,2025-02-21,paid_search,P021,Bright Organizer 21,false,false
V000065,C00754,2025-12-12,social,P002,Pure Band 02,false,false
V000066,C00645,2025-06-03,organic_search,P016,Modern Serum 16,false,false
V000067,C00695,2025-07-22,email,P012,Essential Bag 12,false,false
V000068,C00989,2025-06-22,email,P017,Daily Lamp 17,false,false
V000069,C00122,2025-01-24,organic_search,P019,Urban Bottle 19,false,false
V000070,C00583,2025-09-03,referral,P009,Daily Lamp 09,true,false
V000071,C00984,2025-11-01,organic_search,P004,Essential Bag 04,false,false
V000072,C00998,2025-09-15,social,P015,Calm Cream 15,false,false
V000073,C00037,2025-10-05,organic_search,P008,Modern Serum 08,false,false
V000074,C00631,2025-02-01,organic_search,P018,Pure Band 18,false,false
V000075,C00334,2025-08-09,social,P025,Daily Lamp 25,false,false
V000076,C00514,2025-12-15,organic_search,P023,Calm Cream 23,false,false
V000077,C00303,2025-08-17,email,P013,Bright Organizer 13,false,false
V000078,C00009,2025-06-15,organic_search,P010,Pure Band 10,false,false
V000079,C00303,2025-12-12,paid_search,P013,Bright Organizer 13,false,false
V000080,C00007,2025-01-01,organic_search,P006,Active Mat 06,true,false
V000081,C00548,2025-12-14,organic_search,P011,Urban Bottle 11,false,false
V000082,C00885,2025-03-20,organic_search,P006,Active Mat 06,false,false
V000083,C00648,2025-03-23,organic_search,P003,Urban Bottle 03,true,false
V000084,C00129,2025-10-09,organic_search,P015,Calm Cream 15,false,true
V000085,C00063,2025-03-22,organic_search,P019,Urban Bottle 19,false,false
V000086,C00404,2025-05-01,email,P024,Modern Serum 24,true,false
V000087,C00091,2025-05-21,direct,P024,Modern Serum 24,false,false
V000088,C00754,2025-02-02,referral,P004,Essential Bag 04,false,true
V000089,C00715,2025-04-12,organic_search,P023,Calm Cream 23,false,false
V000090,C00457,2025-07-23,social,P003,Urban Bottle 03,false,false
V000091,C00870,2025-02-11,social,P018,Pure Band 18,false,false
V000092,C00364,2025-12-14,social,P011,Urban Bottle 11,false,false
V000093,C00836,2025-10-30,paid_search,P026,Pure Band 26,false,false
V000094,C00009,2025-02-15,direct,P005,Bright Organizer 05,true,false
V000095,C00688,2025-11-24,email,P016,Modern Serum 16,false,false
V000096,C00074,2025-01-16,organic_search,P014,Active Mat 14,false,false
V000097,C00857,2025-03-03,paid_search,P030,Active Mat 30,false,false
V000098,C00536,2025-01-01,direct,P019,Urban Bottle 19,true,false
V000099,C00030,2025-12-08,social,P025,Daily Lamp 25,false,false
V000100,C00823,2025-08-19,organic_search,P018,Pure Band 18,true,false
V000101,C00910,2025-04-06,organic_search,P009,Daily Lamp 09,false,false
V000102,C00600,2025-11-22,social,P020,Essential Bag 20,false,false
V000103,C00138,2025-02-22,organic_search,P008,Modern Serum 08,false,false
V000104,C00824,2025-08-01,email,P005,Bright Organizer 05,true,false
V000105,C00495,2025-01-29,organic_search,P013,Bright Organizer 13,true,false
V000106,C00901,2025-05-16,organic_search,P013,Bright Organizer 13,false,false
V000107,C00041,2025-09-01,paid_search,P028,Essential Bag 28,false,false
V000108,C00544,2025-08-20,organic_search,P007,Calm Cream 07,false,false
V000109,C00617,2025-08-29,organic_search,P004,Essential Bag 04,false,false
V000110,C00896,2025-07-04,paid_search,P018,Pure Band 18,false,false
V000111,C00491,2025-10-27,organic_search,P027,Urban Bottle 27,false,false
V000112,C00707,2025-03-19,email,P028,Essential Bag 28,false,true
V000113,C00570,2025-10-04,organic_search,P013,Bright Organizer 13,true,false
V000114,C00241,2025-06-27,organic_search,P001,Daily Lamp 01,false,false
V000115,C00792,2025-11-07,paid_search,P005,Bright Organizer 05,false,false
V000116,C00795,2025-12-09,social,P016,Modern Serum 16,true,false
V000117,C00390,2025-10-12,direct,P002,Pure Band 02,false,false
V000118,C00808,2025-02-26,social,P018,Pure Band 18,true,false
V000119,C00493,2025-01-26,social,P003,Urban Bottle 03,false,false
V000120,C00226,2025-08-31,paid_search,P015,Calm Cream 15,false,false
V000121,C00765,2025-05-23,email,P026,Pure Band 26,false,false
V000122,C00487,2025-08-02,organic_search,P007,Calm Cream 07,true,false
V000123,C00464,2025-05-22,referral,P024,Modern Serum 24,false,false
V000124,C00141,2025-06-20,social,P014,Active Mat 14,false,true
V000125,C00318,2025-02-25,email,P017,Daily Lamp 17,false,false
V000126,C00518,2025-01-27,direct,P002,Pure Band 02,false,false
V000127,C00184,2025-05-24,email,P019,Urban Bottle 19,false,false
V000128,C00138,2025-01-04,paid_search,P026,Pure Band 26,false,false
V000129,C00845,2025-01-23,direct,P016,Modern Serum 16,false,false
V000130,C00904,2025-04-12,referral,P008,Modern Serum 08,false,false
V000131,C00789,2025-09-06,social,P016,Modern Serum 16,false,false
V000132,C00889,2025-09-23,organic_search,P021,Bright Organizer 21,false,false
V000133,C00495,2025-03-31,paid_search,P030,Active Mat 30,false,false
V000134,C00643,2025-10-29,email,P020,Essential Bag 20,true,true
V000135,C00441,2025-09-08,social,P002,Pure Band 02,false,false
V000136,C00222,2025-03-31,email,P020,Essential Bag 20,false,false
V000137,C00733,2025-10-06,paid_search,P016,Modern Serum 16,false,false
V000138,C00636,2025-07-19,social,P009,Daily Lamp 09,false,false
V000139,C00275,2025-07-12,direct,P002,Pure Band 02,true,false
V000140,C00998,2025-09-05,organic_search,P004,Essential Bag 04,false,true
V000141,C00213,2025-05-31,email,P007,Calm Cream 07,false,false
V000142,C00293,2025-05-12,paid_search,P001,Daily Lamp 01,false,false
V000143,C00895,2025-08-23,direct,P004,Essential Bag 04,false,false
V000144,C00702,2025-02-03,email,P010,Pure Band 10,true,true
V000145,C00648,2025-05-09,organic_search,P030,Active Mat 30,false,true
V000146,C00224,2025-01-10,paid_search,P020,Essential Bag 20,false,false
V000147,C00539,2025-08-15,direct,P020,Essential Bag 20,false,false
V000148,C00579,2025-05-04,direct,P005,Bright Organizer 05,false,false
V000149,C00080,2025-02-27,social,P019,Urban Bottle 19,false,false
V000150,C00006,2025-12-23,paid_search,P012,Essential Bag 12,false,false
V000151,C00005,2025-09-16,paid_search,P005,Bright Organizer 05,false,false
V000152,C00225,2025-03-05,direct,P015,Calm Cream 15,false,false
V000153,C00101,2025-05-12,direct,P025,Daily Lamp 25,false,false
V000154,C00562,2025-05-04,organic_search,P016,Modern Serum 16,false,false
V000155,C00515,2025-06-21,organic_search,P019,Urban Bottle 19,false,false
V000156,C00306,2025-10-25,direct,P012,Essential Bag 12,false,false
V000157,C00773,2025-03-22,organic_search,P008,Modern Serum 08,false,false
V000158,C00256,2025-05-22,direct,P028,Essential Bag 28,false,false
V000159,C00136,2025-11-16,email,P006,Active Mat 06,false,false
V000160,C00882,2025-08-25,email,P028,Essential Bag 28,false,false
V000161,C00744,2025-09-09,social,P009,Daily Lamp 09,true,false
V000162,C00038,2025-07-08,email,P009,Daily Lamp 09,false,false
V000163,C00069,2025-05-24,organic_search,P029,Bright Organizer 29,false,false
V000164,C00414,2025-05-03,social,P009,Daily Lamp 09,false,false
V000165,C00153,2025-07-29,paid_search,P012,Essential Bag 12,false,false
V000166,C00521,2025-04-29,organic_search,P022,Active Mat 22,true,false
V000167,C00247,2025-01-01,social,P023,Calm Cream 23,false,false
V000168,C00999,2025-07-25,email,P028,Essential Bag 28,false,false
V000169,C00234,2025-04-30,social,P001,Daily Lamp 01,true,false
V000170,C00126,2025-01-29,direct,P027,Urban Bottle 27,false,false
V000171,C00513,2025-12-20,social,P012,Essential Bag 12,true,false
V000172,C00566,2025-12-19,paid_search,P007,Calm Cream 07,false,false
V000173,C00035,2025-12-21,organic_search,P010,Pure Band 10,true,false
V000174,C00669,2025-12-18,paid_search,P030,Active Mat 30,true,false
V000175,C00278,2025-12-28,organic_search,P022,Active Mat 22,false,false
V000176,C00755,2025-10-04,paid_search,P008,Modern Serum 08,false,false
V000177,C00354,2025-08-04,email,P015,Calm Cream 15,false,false
V000178,C00519,2025-10-04,direct,P020,Essential Bag 20,false,false
V000179,C00126,2025-04-03,paid_search,P007,Calm Cream 07,false,false
V000180,C00699,2025-02-24,paid_search,P027,Urban Bottle 27,false,false
V000181,C00262,2025-12-19,organic_search,P004,Essential Bag 04,true,true
V000182,C00060,2025-03-08,email,P023,Calm Cream 23,false,false
V000183,C00879,2025-12-17,referral,P010,Pure Band 10,false,false
V000184,C00764,2025-06-10,organic_search,P030,Active Mat 30,false,false
V000185,C00931,2025-05-29,organic_search,P020,Essential Bag 20,false,false
V000186,C00083,2025-03-02,direct,P028,Essential Bag 28,false,false
V000187,C00195,2025-07-22,paid_search,P008,Modern Serum 08,false,true
V000188,C00930,2025-05-23,organic_search,P012,Essential Bag 12,false,false
V000189,C00763,2025-08-09,referral,P030,Active Mat 30,false,true
V000190,C00002,2025-07-04,social,P008,Modern Serum 08,true,false
V000191,C00607,2025-06-26,paid_search,P010,Pure Band 10,false,false
V000192,C00047,2025-12-20,referral,P001,Daily Lamp 01,false,false
V000193,C00401,2025-08-18,paid_search,P016,Modern Serum 16,true,false
V000194,C00318,2025-07-23,organic_search,P012,Essential Bag 12,false,false
V000195,C00073,2025-01-17,organic_search,P028,Essential Bag 28,false,false
V000196,C00294,2025-06-28,paid_search,P018,Pure Band 18,false,false
V000197,C00999,2025-09-03,organic_search,P020,Essential Bag 20,false,false
V000198,C00693,2025-10-18,paid_search,P027,Urban Bottle 27,false,false
V000199,C00367,2025-04-16,email,P024,Modern Serum 24,false,false
V000200,C00796,2025-10-17,social,P011,Urban Bottle 11,false,false
V000201,C00116,2025-03-28,paid_search,P004,Essential Bag 04,false,false
V000202,C00512,2025-09-01,organic_search,P015,Calm Cream 15,false,false
V000203,C00070,2025-07-14,referral,P030,Active Mat 30,false,false
V000204,C00495,2025-12-16,organic_search,P013,Bright Organizer 13,true,false
V000205,C00043,2025-08-09,organic_search,P020,Essential Bag 20,false,false
V000206,C00116,2025-02-25,paid_search,P024,Modern Serum 24,true,true
V000207,C00899,2025-05-01,email,P014,Active Mat 14,false,false
V000208,C00751,2025-03-21,paid_search,P030,Active Mat 30,false,false
V000209,C00955,2025-01-13,social,P006,Active Mat 06,false,false
V000210,C00495,2025-11-09,organic_search,P008,Modern Serum 08,false,false
V000211,C00201,2025-11-17,direct,P014,Active Mat 14,true,false
V000212,C00535,2025-04-30,social,P029,Bright Organizer 29,false,false
V000213,C00875,2025-06-04,social,P030,Active Mat 30,false,false
V000214,C00706,2025-09-30,email,P017,Daily Lamp 17,false,false
V000215,C00295,2025-11-16,email,P011,Urban Bottle 11,false,false
V000216,C00445,2025-12-24,direct,P010,Pure Band 10,true,false
V000217,C00624,2025-02-20,paid_search,P027,Urban Bottle 27,false,false
V000218,C00597,2025-12-24,direct,P010,Pure Band 10,true,false
V000219,C00677,2025-04-01,direct,P020,Essential Bag 20,false,false
V000220,C00800,2025-02-27,social,P012,Essential Bag 12,false,false
V000221,C00149,2025-07-28,social,P027,Urban Bottle 27,false,false
V000222,C00012,2025-07-30,social,P022,Active Mat 22,false,false
V000223,C00306,2025-07-22,paid_search,P016,Modern Serum 16,false,false
V000224,C00403,2025-05-02,organic_search,P015,Calm Cream 15,false,false
V000225,C00127,2025-03-24,organic_search,P013,Bright Organizer 13,false,false
V000226,C00113,2025-10-22,email,P013,Bright Organizer 13,true,false
V000227,C00772,2025-12-10,paid_search,P023,Calm Cream 23,false,false
V000228,C00101,2025-02-24,organic_search,P005,Bright Organizer 05,false,false
V000229,C00920,2025-05-22,organic_search,P026,Pure Band 26,false,false
V000230,C00245,2025-09-19,direct,P014,Active Mat 14,false,false
V000231,C00577,2025-10-06,paid_search,P026,Pure Band 26,false,false
V000232,C00567,2025-12-03,paid_search,P017,Daily Lamp 17,true,false
V000233,C00825,2025-03-07,paid_search,P009,Daily Lamp 09,false,false
V000234,C00843,2025-01-16,organic_search,P024,Modern Serum 24,false,false
V000235,C00882,2025-11-26,social,P024,Modern Serum 24,false,false
V000236,C00844,2025-09-15,organic_search,P019,Urban Bottle 19,true,false
V000237,C00067,2025-12-13,paid_search,P004,Essential Bag 04,true,false
V000238,C00471,2025-10-18,social,P001,Daily Lamp 01,false,false
V000239,C00902,2025-09-12,paid_search,P030,Active Mat 30,true,false
V000240,C00342,2025-11-23,organic_search,P012,Essential Bag 12,false,false
V000241,C00469,2025-05-03,organic_search,P012,Essential Bag 12,false,false
V000242,C00145,2025-07-14,organic_search,P014,Active Mat 14,true,false
V000243,C00275,2025-10-15,paid_search,P023,Calm Cream 23,false,false
V000244,C00806,2025-08-26,organic_search,P027,Urban Bottle 27,false,false
V000245,C00286,2025-02-21,social,P025,Daily Lamp 25,false,false
V000246,C00287,2025-10-10,paid_search,P006,Active Mat 06,false,false
V000247,C00121,2025-01-26,organic_search,P011,Urban Bottle 11,false,false
V000248,C00994,2025-01-06,email,P003,Urban Bottle 03,false,false
V000249,C00516,2025-04-07,social,P027,Urban Bottle 27,false,false
V000250,C00528,2025-10-18,social,P024,Modern Serum 24,false,false
V000251,C00138,2025-03-25,email,P009,Daily Lamp 09,false,true
V000252,C00978,2025-12-25,social,P009,Daily Lamp 09,false,false
V000253,C00290,2025-12-23,email,P018,Pure Band 18,false,false
V000254,C00947,2025-07-25,organic_search,P011,Urban Bottle 11,true,false
V000255,C00463,2025-08-16,email,P023,Calm Cream 23,false,false
V000256,C00203,2025-02-22,paid_search,P017,Daily Lamp 17,false,false
V000257,C00048,2025-02-28,email,P016,Modern Serum 16,false,true
V000258,C00462,2025-12-28,organic_search,P026,Pure Band 26,false,false
V000259,C00253,2025-12-18,organic_search,P004,Essential Bag 04,false,false
V000260,C00741,2025-04-16,organic_search,P010,Pure Band 10,false,false
V000261,C00581,2025-01-30,social,P015,Calm Cream 15,false,false
V000262,C00085,2025-10-18,email,P008,Modern Serum 08,false,false
V000263,C00043,2025-12-21,social,P028,Essential Bag 28,true,true
V000264,C00748,2025-06-11,organic_search,P027,Urban Bottle 27,false,false
V000265,C00309,2025-01-21,paid_search,P012,Essential Bag 12,false,false
V000266,C00914,2025-04-16,social,P013,Bright Organizer 13,false,false
V000267,C00938,2025-11-08,social,P011,Urban Bottle 11,false,false
V000268,C00602,2025-02-10,social,P021,Bright Organizer 21,true,false
V000269,C00803,2025-05-02,social,P005,Bright Organizer 05,false,false
V000270,C00960,2025-02-02,email,P001,Daily Lamp 01,false,false
V000271,C00962,2025-08-01,organic_search,P006,Active Mat 06,false,false
V000272,C00942,2025-06-14,paid_search,P012,Essential Bag 12,false,false
V000273,C00393,2025-07-06,direct,P002,Pure Band 02,true,true
V000274,C00387,2025-11-24,paid_search,P015,Calm Cream 15,true,true
V000275,C00842,2025-08-05,social,P022,Active Mat 22,false,false
V000276,C00118,2025-11-25,direct,P022,Active Mat 22,false,false
V000277,C00560,2025-10-09,paid_search,P010,Pure Band 10,false,false
V000278,C00185,2025-08-16,social,P026,Pure Band 26,true,false
V000279,C00494,2025-09-14,referral,P005,Bright Organizer 05,false,false
V000280,C00470,2025-06-30,social,P007,Calm Cream 07,false,false
V000281,C00064,2025-11-09,email,P023,Calm Cream 23,false,false
V000282,C00674,2025-06-03,email,P007,Calm Cream 07,false,false
V000283,C00542,2025-07-14,direct,P007,Calm Cream 07,false,false
V000284,C00432,2025-08-25,social,P007,Calm Cream 07,false,false
V000285,C00153,2025-03-14,organic_search,P009,Daily Lamp 09,true,false
V000286,C00141,2025-07-05,social,P026,Pure Band 26,false,false
V000287,C00625,2025-07-28,direct,P006,Active Mat 06,false,false
V000288,C00889,2025-02-16,social,P015,Calm Cream 15,false,false
V000289,C00971,2025-08-08,organic_search,P002,Pure Band 02,false,false
V000290,C00030,2025-07-26,direct,P002,Pure Band 02,false,false
V000291,C00745,2025-06-26,organic_search,P004,Essential Bag 04,false,false
V000292,C00595,2025-10-15,organic_search,P010,Pure Band 10,true,false
V000293,C00674,2025-12-11,organic_search,P018,Pure Band 18,false,false
V000294,C00024,2025-08-23,direct,P010,Pure Band 10,false,false
V000295,C00983,2025-06-29,organic_search,P029,Bright Organizer 29,true,false
V000296,C00061,2025-08-20,email,P003,Urban Bottle 03,true,false
V000297,C00867,2025-08-29,direct,P010,Pure Band 10,false,false
V000298,C00457,2025-05-25,paid_search,P028,Essential Bag 28,true,false
V000299,C00963,2025-10-04,referral,P016,Modern Serum 16,true,false
V000300,C00641,2025-11-05,email,P019,Urban Bottle 19,false,false
V000301,C00841,2025-01-30,organic_search,P014,Active Mat 14,true,false
V000302,C00410,2025-12-13,social,P026,Pure Band 26,true,true
V000303,C00120,2025-08-05,paid_search,P022,Active Mat 22,false,false
V000304,C00380,2025-09-21,social,P009,Daily Lamp 09,false,false
V000305,C00732,2025-02-21,social,P018,Pure Band 18,false,false
V000306,C00459,2025-09-15,paid_search,P021,Bright Organizer 21,false,false
V000307,C00583,2025-08-17,paid_search,P026,Pure Band 26,false,false
V000308,C00476,2025-07-15,social,P018,Pure Band 18,false,false
V000309,C00721,2025-03-05,organic_search,P024,Modern Serum 24,true,true
V000310,C00022,2025-10-10,organic_search,P008,Modern Serum 08,true,false
V000311,C00412,2025-12-29,direct,P006,Active Mat 06,false,true
V000312,C00974,2025-04-16,email,P026,Pure Band 26,false,false
V000313,C00933,2025-03-23,paid_search,P016,Modern Serum 16,false,false
V000314,C00960,2025-11-12,paid_search,P026,Pure Band 26,false,false
V000315,C00289,2025-03-22,email,P028,Essential Bag 28,true,false
V000316,C00523,2025-04-06,direct,P022,Active Mat 22,false,false
V000317,C00607,2025-03-24,social,P003,Urban Bottle 03,false,false
V000318,C00307,2025-01-07,organic_search,P004,Essential Bag 04,false,true
V000319,C00044,2025-12-11,referral,P023,Calm Cream 23,false,false
V000320,C00103,2025-09-12,direct,P025,Daily Lamp 25,false,false
V000321,C00294,2025-12-28,email,P024,Modern Serum 24,false,false
V000322,C00390,2025-09-28,organic_search,P022,Active Mat 22,false,false
V000323,C00463,2025-06-06,social,P013,Bright Organizer 13,false,false
V000324,C00750,2025-02-13,organic_search,P023,Calm Cream 23,false,false
V000325,C00576,2025-07-01,organic_search,P027,Urban Bottle 27,false,false
V000326,C00451,2025-02-10,email,P020,Essential Bag 20,false,false
V000327,C00251,2025-03-18,paid_search,P007,Calm Cream 07,true,true
V000328,C00847,2025-01-23,social,P004,Essential Bag 04,true,true
V000329,C00667,2025-03-29,direct,P009,Daily Lamp 09,false,false
V000330,C00262,2025-04-22,organic_search,P029,Bright Organizer 29,false,false
V000331,C00962,2025-12-13,paid_search,P009,Daily Lamp 09,false,false
V000332,C00986,2025-01-30,direct,P027,Urban Bottle 27,false,false
V000333,C00367,2025-10-14,social,P005,Bright Organizer 05,false,false
V000334,C00865,2025-06-30,social,P026,Pure Band 26,false,false
V000335,C00177,2025-02-07,referral,P005,Bright Organizer 05,false,false
V000336,C00268,2025-02-04,social,P007,Calm Cream 07,true,false
V000337,C00987,2025-11-28,social,P007,Calm Cream 07,false,false
V000338,C00188,2025-05-09,organic_search,P021,Bright Organizer 21,true,false
V000339,C00411,2025-09-19,organic_search,P015,Calm Cream 15,false,false
V000340,C00594,2025-08-29,email,P002,Pure Band 02,true,true
V000341,C00118,2025-09-01,paid_search,P011,Urban Bottle 11,false,false
V000342,C00391,2025-01-07,social,P020,Essential Bag 20,false,false
V000343,C00376,2025-08-17,paid_search,P029,Bright Organizer 29,false,false
V000344,C00304,2025-07-27,paid_search,P009,Daily Lamp 09,false,false
V000345,C00619,2025-08-20,email,P015,Calm Cream 15,false,false
V000346,C00552,2025-07-08,social,P008,Modern Serum 08,false,false
V000347,C00459,2025-01-19,organic_search,P020,Essential Bag 20,false,false
V000348,C00326,2025-02-22,organic_search,P004,Essential Bag 04,false,false
V000349,C00495,2025-05-28,organic_search,P004,Essential Bag 04,false,false
V000350,C00769,2025-10-05,organic_search,P026,Pure Band 26,false,false
V000351,C00740,2025-02-20,email,P011,Urban Bottle 11,false,false
V000352,C00042,2025-08-14,social,P026,Pure Band 26,false,false
V000353,C00156,2025-03-17,email,P014,Active Mat 14,false,false
V000354,C00159,2025-08-08,direct,P009,Daily Lamp 09,false,true
V000355,C00702,2025-09-23,direct,P010,Pure Band 10,false,false
V000356,C00040,2025-04-26,organic_search,P010,Pure Band 10,true,false
V000357,C00582,2025-01-21,social,P002,Pure Band 02,true,false
V000358,C00491,2025-11-06,paid_search,P008,Modern Serum 08,false,false
V000359,C00007,2025-10-28,email,P029,Bright Organizer 29,false,false
V000360,C00498,2025-01-25,organic_search,P009,Daily Lamp 09,true,false
V000361,C00125,2025-11-14,paid_search,P008,Modern Serum 08,true,true
V000362,C00973,2025-06-06,email,P020,Essential Bag 20,false,false
V000363,C00090,2025-05-16,organic_search,P006,Active Mat 06,false,false
V000364,C00780,2025-11-03,organic_search,P018,Pure Band 18,true,true
V000365,C00835,2025-02-22,organic_search,P019,Urban Bottle 19,false,false
V000366,C00803,2025-04-03,email,P028,Essential Bag 28,false,false
V000367,C00500,2025-03-19,social,P021,Bright Organizer 21,false,false
V000368,C00520,2025-10-30,direct,P019,Urban Bottle 19,false,false
V000369,C00530,2025-10-07,paid_search,P015,Calm Cream 15,false,false
V000370,C00287,2025-07-20,direct,P023,Calm Cream 23,false,false
V000371,C00790,2025-01-13,organic_search,P019,Urban Bottle 19,false,false
V000372,C00507,2025-10-03,direct,P001,Daily Lamp 01,true,true
V000373,C00787,2025-04-18,organic_search,P005,Bright Organizer 05,false,false
V000374,C00815,2025-03-14,direct,P020,Essential Bag 20,false,false
V000375,C00250,2025-06-04,paid_search,P024,Modern Serum 24,false,false
V000376,C00028,2025-10-28,organic_search,P018,Pure Band 18,false,false
V000377,C00899,2025-11-28,organic_search,P012,Essential Bag 12,false,false
V000378,C00021,2025-01-09,direct,P015,Calm Cream 15,false,false
V000379,C00923,2025-02-25,paid_search,P005,Bright Organizer 05,false,false
V000380,C00618,2025-05-28,email,P013,Bright Organizer 13,false,false
V000381,C00553,2025-04-20,paid_search,P026,Pure Band 26,false,false
V000382,C00207,2025-05-03,direct,P005,Bright Organizer 05,false,true
V000383,C00624,2025-04-09,social,P007,Calm Cream 07,false,false
V000384,C00880,2025-01-31,email,P027,Urban Bottle 27,false,false
V000385,C00666,2025-03-27,organic_search,P004,Essential Bag 04,false,false
V000386,C00313,2025-06-07,referral,P012,Essential Bag 12,false,false
V000387,C00403,2025-10-31,organic_search,P012,Essential Bag 12,false,false
V000388,C00538,2025-12-07,referral,P029,Bright Organizer 29,true,false
V000389,C00431,2025-08-02,paid_search,P026,Pure Band 26,false,true
V000390,C00023,2025-07-11,organic_search,P021,Bright Organizer 21,false,false
V000391,C00514,2025-06-21,organic_search,P003,Urban Bottle 03,false,false
V000392,C00308,2025-03-25,social,P018,Pure Band 18,false,false
V000393,C00032,2025-02-08,direct,P014,Active Mat 14,false,false
V000394,C00559,2025-06-30,organic_search,P019,Urban Bottle 19,false,false
V000395,C00817,2025-02-02,referral,P030,Active Mat 30,false,false
V000396,C00902,2025-09-04,direct,P030,Active Mat 30,false,false
V000397,C00385,2025-12-21,paid_search,P024,Modern Serum 24,false,false
V000398,C00336,2025-04-08,direct,P002,Pure Band 02,false,false
V000399,C00664,2025-09-16,social,P015,Calm Cream 15,false,false
V000400,C00795,2025-11-20,social,P030,Active Mat 30,true,false
V000401,C00634,2025-01-28,direct,P014,Active Mat 14,false,true
