transaction_id,customer_id,product_id,product_name,quantity,unit_price,transaction_total,date
T000130,C00324,P001,Daily Lamp 01,2,97.26,194.52,2025-08-10
T000131,C00065,P024,Modern Serum 24,1,66.53,66.53,2025-11-13
T000132,C00109,P009,Daily Lamp 09,1,21.85,21.85,2025-09-15
T000133,C00391,P012,Essential Bag 12,1,16.9,16.9,2025-08-13
T000134,C00765,P012,Essential Bag 12,2,17.09,34.18,2025-03-11
T000135,C00306,P021,Bright Organizer 21,3,32.59,97.77,2025-03-15
T000136,C00981,P029,Bright Organizer 29,1,88.71,88.71,2025-07-11
T000137,C00587,P018,Pure Band 18,1,68.91,68.91,2025-01-03
T000138,C00217,P013,Bright Organizer 13,1,26.52,26.52,2025-06-26
T000139,C00632,P026,Pure Band 26,1,97.27,97.27,2025-04-24
T000140,C00872,P023,Calm Cream 23,4,46.02,184.08,2025-01-28
T000141,C00298,P021,Bright Organizer 21,1,34.28,34.28,2025-02-07
T000142,C00366,P004,Essential Bag 04,1,19.23,19.23,2025-06-19
T000143,C00326,P015,Calm Cream 15,1,31.56,31.56,2025-04-10
T000144,C00580,P017,Daily Lamp 17,2,35.2,70.4,2025-03-20
T000145,C00253,P024,Modern Serum 24,2,68.64,137.28,2025-06-10
T000146,C00138,P021,Bright Organizer 21,1,33.92,33.92,2025-07-04
T000147,C00499,P017,Daily Lamp 17,1,42.46,42.46,2025-06-06
T000148,C00913,P017,Daily Lamp 17,1,37.17,37.17,2025-03-13
T000149,C00914,P001,Daily Lamp 01,1,96.97,96.97,2025-02-08
T000150,C00788,P018,Pure Band 18,2,76.77,153.54,2025-07-27
T000151,C00484,P020,Essential Bag 20,1,56.99,56.99,2025-10-04
T000152,C00751,P026,Pure Band 26,1,96.22,96.22,2025-10-29
T000153,C00515,P001,Daily Lamp 01,1,83.36,83.36,2025-07-06
T000154,C00170,P024,Modern Serum 24,1,71.3,71.3,2025-12-17
T000155,C00676,P027,Urban Bottle 27,1,57.19,57.19,2025-10-17
T000156,C00225,P024,Modern Serum 24,1,69.22,69.22,2025-01-21
T000157,C00212,P016,Modern Serum 16,2,42.09,84.18,2025-12-09
T000158,C00041,P030,Active Mat 30,1,22.67,22.67,2025-01-24
T000159,C00855,P023,Calm Cream 23,1,45.06,45.06,2025-05-21
T000160,C00375,P018,Pure Band 18,2,75.72,151.44,2025-07-13
T000161,C00529,P012,Essential Bag 12,2,16.91,33.82,2025-04-25
T000162,C00007,P016,Modern Serum 16,1,40.75,40.75,2025-11-06
T000163,C00288,P006,Active Mat 06,1,21.74,21.74,2025-11-26
T000164,C00677,P007,Calm Cream 07,2,56.1,112.2,2025-03-02
T000165,C00491,P006,Active Mat 06,1,18.72,18.72,2025-09-03
T000166,C00131,P018,Pure Band 18,1,75.53,75.53,2025-01-23
T000167,C00151,P002,Pure Band 02,1,28.7,28.7,2025-10-21
T000168,C00993,P017,Daily Lamp 17,1,41.22,41.22,2025-11-03
T000169,C00970,P003,Urban Bottle 03,1,34.97,34.97,2025-05-26
T000170,C00225,P026,Pure Band 26,1,92.65,92.65,2025-03-29
T000171,C00639,P020,Essential Bag 20,1,52.18,52.18,2025-04-04
T000172,C00611,P018,Pure Band 18,1,75.73,75.73,2025-08-21
T000173,C00536,P026,Pure Band 26,1,94.82,94.82,2025-04-14
T000174,C00182,P015,Calm Cream 15,1,31.87,31.87,2025-02-19
T000175,C00771,P004,Essential Bag 04,1,19.46,19.46,2025-09-15
T000176,C00919,P028,Essential Bag 28,2,82.17,164.34,2025-01-01
T000177,C00715,P016,Modern Serum 16,1,39.1,39.1,2025-01-23
T000178,C00359,P018,Pure Band 18,2,73.25,146.5,2025-07-15
T000179,C00436,P004,Essential Bag 04,1,19.51,19.51,2025-02-20
T000180,C00613,P027,Urban Bottle 27,1,58.65,58.65,2025-05-26
T000181,C00592,P016,Modern Serum 16,1,40.32,40.32,2025-01-04
T000182,C00419,P011,Urban Bottle 11,1,37.34,37.34,2025-06-11
T000183,C00434,P017,Daily Lamp 17,1,36.0,36.0,2025-10-02
T000184,C00424,P017,Daily Lamp 17,1,41.97,41.97,2025-04-15
T000185,C00260,P030,Active Mat 30,1,22.6,22.6,2025-09-05
T000186,C00876,P027,Urban Bottle 27,1,59.04,59.04,2025-03-12
T000187,C00103,P006,Active Mat 06,1,21.03,21.03,2025-03-24
T000188,C00701,P022,Active Mat 22,1,72.73,72.73,2025-12-23
T000189,C00844,P005,Bright Organizer 05,3,82.15,246.45,2025-02-16
T000190,C00380,P003,Urban Bottle 03,1,41.33,41.33,2025-04-24
T000191,C00672,P016,Modern Serum 16,2,42.19,84.38,2025-11-11
T000192,C00656,P015,Calm Cream 15,1,28.7,28.7,2025-03-31
T000193,C00293,P006,Active Mat 06,2,21.42,42.84,2025-09-23
T000194,C00174,P021,Bright Organizer 21,1,35.55,35.55,2025-11-11
T000195,C00283,P024,Modern Serum 24,1,69.95,69.95,2025-02-14
T000196,C00016,P023,Calm Cream 23,1,45.59,45.59,2025-09-23
T000197,C00937,P018,Pure Band 18,1,72.74,72.74,2025-10-14
T000198,C00466,P028,Essential Bag 28,1,81.05,81.05,2025-04-10
T000199,C00573,P002,Pure Band 02,1,25.38,25.38,2025-02-24
T000200,C00898,P017,Daily Lamp 17,2,41.74,83.48,2025-05-12
T000201,C00577,P015,Calm Cream 15,1,31.79,31.79,2025-07-13
T000202,C00472,P027,Urban Bottle 27,2,59.22,118.44,2025-12-15
T000203,C00649,P024,Modern Serum 24,1,66.85,66.85,2025-07-15
T000204,C00979,P011,Urban Bottle 11,1,35.71,35.71,2025-07-31
T000205,C00096,P012,Essential Bag 12,2,16.75,33.5,2025-05-28
T000206,C00488,P010,Pure Band 10,1,78.74,78.74,2025-04-02
T000207,C00953,P028,Essential Bag 28,1,84.35,84.35,2025-12-16
T000208,C00212,P007,Calm Cream 07,2,52.6,105.2,2025-05-16
T000209,C00123,P028,Essential Bag 28,1,82.15,82.15,2025-02-24
T000210,C00981,P002,Pure Band 02,1,28.14,28.14,2025-10-05
T000211,C00890,P008,Modern Serum 08,1,27.01,27.01,2025-10-22
T000212,C00228,P023,Calm Cream 23,1,45.44,45.44,2025-07-23
T000213,C00034,P016,Modern Serum 16,1,38.35,38.35,2025-10-04
T000214,C00716,P016,Modern Serum 16,1,40.73,40.73,2025-03-03
T000215,C00595,P003,Urban Bottle 03,1,36.21,36.21,2025-07-14
T000216,C00243,P008,Modern Serum 08,3,27.56,82.68,2025-05-15
T000217,C00216,P013,Bright Organizer 13,2,26.93,53.86,2025-08-06
T000218,C00185,P018,Pure Band 18,3,73.98,221.94,2025-08-19
T000219,C00824,P007,Calm Cream 07,1,57.95,57.95,2025-05-19
T000220,C00485,P025,Daily Lamp 25,1,93.5,93.5,2025-03-18
T000221,C00530,P016,Modern Serum 16,1,41.03,41.03,2025-11-19
T000222,C00049,P012,Essential Bag 12,1,17.22,17.22,2025-10-18
T000223,C00860,P019,Urban Bottle 19,1,30.06,30.06,2025-09-01
T000224,C00571,P028,Essential Bag 28,1,81.42,81.42,2025-10-14
T000225,C00987,P019,Urban Bottle 19,1,30.75,30.75,2025-12-14
T000226,C00364,P010,Pure Band 10,1,75.5,75.5,2025-05-26
T000227,C00391,P019,Urban Bottle 19,1,25.97,25.97,2025-02-10
T000228,C00828,P028,Essential Bag 28,1,83.37,83.37,2025-11-24
T000229,C00082,P005,Bright Organizer 05,1,83.04,83.04,2025-02-06
T000230,C00620,P020,Essential Bag 20,1,55.99,55.99,2025-05-17
T000231,C00766,P018,Pure Band 18,3,75.43,226.29,2025-07-05
T000232,C00129,P023,Calm Cream 23,1,41.61,41.61,2025-01-12
T000233,C00216,P005,Bright Organizer 05,1,84.95,84.95,2025-02-10
T000234,C00056,P001,Daily Lamp 01,1,91.02,91.02,2025-10-08
T000235,C00633,P005,Bright Organizer 05,1,74.11,74.11,2025-05-15
T000236,C00756,P009,Daily Lamp 09,1,22.02,22.02,2025-05-07
T000237,C00036,P020,Essential Bag 20,2,55.83,111.66,2025-01-15
T000238,C00958,P008,Modern Serum 08,1,24.31,24.31,2025-10-04
T000239,C00606,P018,Pure Band 18,1,76.42,76.42,2025-04-01
T000240,C00656,P020,Essential Bag 20,1,56.15,56.15,2025-09-26
T000241,C00453,P010,Pure Band 10,1,78.65,78.65,2025-02-15
T000242,C00835,P024,Modern Serum 24,1,70.35,70.35,2025-09-25
T000243,C00945,P015,Calm Cream 15,2,32.5,65.0,2025-12-19
T000244,C00612,P007,Calm Cream 07,1,58.6,58.6,2025-05-30
T000245,C00448,P012,Essential Bag 12,1,16.08,16.08,2025-10-15
T000246,C00226,P008,Modern Serum 08,1,28.36,28.36,2025-07-13
T000247,C00827,P022,Active Mat 22,1,87.63,87.63,2025-11-10
T000248,C00423,P006,Active Mat 06,1,20.61,20.61,2025-05-18
T000249,C00633,P014,Active Mat 14,2,40.66,81.32,2025-08-22
T000250,C00051,P029,Bright Organizer 29,1,75.76,75.76,2025-03-19
T000251,C00733,P013,Bright Organizer 13,1,26.42,26.42,2025-03-06
T000252,C00351,P013,Bright Organizer 13,2,26.68,53.36,2025-04-22
T000253,C00811,P001,Daily Lamp 01,1,92.21,92.21,2025-12-23
T000254,C00795,P012,Essential Bag 12,1,16.97,16.97,2025-05-17
T000255,C00837,P012,Essential Bag 12,1,14.32,14.32,2025-05-09
T000256,C00790,P030,Active Mat 30,1,19.91,19.91,2025-07-17
T000257,C00534,P021,Bright Organizer 21,1,34.74,34.74,2025-02-18
T000258,C00163,P019,Urban Bottle 19,1,26.94,26.94,2025-06-15
T000259,C00493,P020,Essential Bag 20,1,50.39,50.39,2025-05-10
T000260,C00997,P004,Essential Bag 04,1,18.85,18.85,2025-04-22
T000261,C00599,P004,Essential Bag 04,2,18.75,37.5,2025-05-22
T000262,C00487,P021,Bright Organizer 21,1,32.74,32.74,2025-12-20
T000263,C00094,P021,Bright Organizer 21,1,29.5,29.5,2025-09-13
T000264,C00062,P011,Urban Bottle 11,1,37.44,37.44,2025-01-31
T000265,C00239,P010,Pure Band 10,1,80.19,80.19,2025-09-07
T000266,C00751,P006,Active Mat 06,1,20.83,20.83,2025-08-13
T000267,C00497,P022,Active Mat 22,1,85.9,85.9,2025-01-21
T000268,C00192,P017,Daily Lamp 17,1,43.2,43.2,2025-10-18
T000269,C00937,P026,Pure Band 26,1,98.79,98.79,2025-11-03
T000270,C00555,P011,Urban Bottle 11,1,37.48,37.48,2025-05-15
T000271,C00905,P001,Daily Lamp 01,2,90.2,180.4,2025-04-05
T000272,C00675,P029,Bright Organizer 29,2,91.17,182.34,2025-02-02
T000273,C00158,P019,Urban Bottle 19,1,29.89,29.89,2025-10-10
T000274,C00675,P002,Pure Band 02,2,28.55,57.1,2025-09-25
T000275,C00110,P015,Calm Cream 15,1,31.73,31.73,2025-04-14
T000276,C00502,P016,Modern Serum 16,2,41.2,82.4,2025-12-03
T000277,C00736,P002,Pure Band 02,3,28.52,85.56,2025-11-07
T000278,C00480,P025,Daily Lamp 25,1,93.77,93.77,2025-02-10
T000279,C00842,P011,Urban Bottle 11,2,35.72,71.44,2025-08-01
T000280,C00752,P002,Pure Band 02,1,25.67,25.67,2025-01-21
T000281,C00104,P023,Calm Cream 23,1,45.65,45.65,2025-02-19
T000282,C00584,P019,Urban Bottle 19,1,28.26,28.26,2025-05-08
T000283,C00785,P020,Essential Bag 20,1,55.91,55.91,2025-02-24
T000284,C00171,P025,Daily Lamp 25,1,92.55,92.55,2025-02-23
T000285,C00615,P014,Active Mat 14,1,41.97,41.97,2025-10-01
T000286,C00866,P012,Essential Bag 12,2,16.89,33.78,2025-06-16
T000287,C00247,P017,Daily Lamp 17,1,41.65,41.65,2025-11-08
T000288,C00369,P029,Bright Organizer 29,1,90.44,90.44,2025-05-11
T000289,C00611,P001,Daily Lamp 01,1,84.56,84.56,2025-05-26
T000290,C00220,P026,Pure Band 26,1,92.0,92.0,2025-04-24
T000291,C00942,P017,Daily Lamp 17,1,37.14,37.14,2025-05-22
T000292,C00472,P011,Urban Bottle 11,1,38.23,38.23,2025-01-20
T000293,C00263,P025,Daily Lamp 25,1,92.91,92.91,2025-04-30
T000294,C00741,P010,Pure Band 10,1,81.58,81.58,2025-02-09
T000295,C00591,P025,Daily Lamp 25,1,92.12,92.12,2025-12-26
T000296,C00391,P003,Urban Bottle 03,1,38.95,38.95,2025-10-23
T000297,C00427,P028,Essential Bag 28,1,78.71,78.71,2025-08-11
T000298,C00951,P001,Daily Lamp 01,2,97.94,195.88,2025-11-05
T000299,C00327,P017,Daily Lamp 17,1,41.85,41.85,2025-01-22
T000300,C00690,P023,Calm Cream 23,1,45.95,45.95,2025-01-26
T000301,C00093,P007,Calm Cream 07,1,58.76,58.76,2025-09-16
T000302,C00488,P018,Pure Band 18,1,75.44,75.44,2025-02-12
T000303,C00445,P024,Modern Serum 24,1,70.33,70.33,2025-09-14
T000304,C00405,P020,Essential Bag 20,1,56.46,56.46,2025-09-07
T000305,C00249,P002,Pure Band 02,2,28.16,56.32,2025-05-07
T000306,C00116,P021,Bright Organizer 21,1,33.88,33.88,2025-02-15
T000307,C00672,P001,Daily Lamp 01,1,84.29,84.29,2025-11-01
T000308,C00639,P005,Bright Organizer 05,1,78.67,78.67,2025-08-15
T000309,C00160,P024,Modern Serum 24,2,68.26,136.52,2025-07-11
T000310,C00949,P005,Bright Organizer 05,2,84.95,169.9,2025-11-14
T000311,C00313,P014,Active Mat 14,1,40.81,40.81,2025-02-26
T000312,C00560,P016,Modern Serum 16,1,40.64,40.64,2025-04-15
T000313,C00712,P022,Active Mat 22,1,85.84,85.84,2025-03-14
T000314,C00262,P005,Bright Organizer 05,1,80.1,80.1,2025-01-23
T000315,C00477,P020,Essential Bag 20,1,55.26,55.26,2025-01-28
T000316,C00369,P027,Urban Bottle 27,1,54.18,54.18,2025-12-04
T000317,C00390,P016,Modern Serum 16,2,36.19,72.38,2025-04-29
T000318,C00545,P003,Urban Bottle 03,1,35.58,35.58,2025-11-02
T000319,C00023,P002,Pure Band 02,3,28.42,85.26,2025-12-31
T000320,C00019,P011,Urban Bottle 11,1,37.37,37.37,2025-03-22
T000321,C00283,P025,Daily Lamp 25,1,84.73,84.73,2025-09-14
T000322,C00967,P017,Daily Lamp 17,1,43.03,43.03,2025-01-16
T000323,C00141,P003,Urban Bottle 03,1,35.62,35.62,2025-12-03
T000324,C00703,P007,Calm Cream 07,1,61.69,61.69,2025-11-17
T000325,C00338,P014,Active Mat 14,1,41.86,41.86,2025-11-06
T000326,C00820,P006,Active Mat 06,1,20.77,20.77,2025-12-17
T000327,C00441,P030,Active Mat 30,4,24.09,96.36,2025-03-11
T000328,C00326,P002,Pure Band 02,1,26.05,26.05,2025-03-22
T000329,C00745,P001,Daily Lamp 01,1,83.24,83.24,2025-03-16
T000330,C00454,P023,Calm Cream 23,2,45.76,91.52,2025-06-05
T000331,C00798,P006,Active Mat 06,1,21.41,21.41,2025-03-19
T000332,C00274,P019,Urban Bottle 19,1,30.42,30.42,2025-11-12
T000333,C00368,P003,Urban Bottle 03,2,41.61,83.22,2025-01-14
T000334,C00730,P020,Essential Bag 20,1,55.81,55.81,2025-08-29
T000335,C00198,P007,Calm Cream 07,1,50.94,50.94,2025-03-25
T000336,C00228,P023,Calm Cream 23,4,42.6,170.4,2025-07-31
T000337,C00888,P019,Urban Bottle 19,1,27.55,27.55,2025-08-13
T000338,C00415,P024,Modern Serum 24,1,66.87,66.87,2025-08-07
T000339,C00627,P028,Essential Bag 28,1,82.24,82.24,2025-07-21
T000340,C00806,P002,Pure Band 02,1,28.87,28.87,2025-12-27
T000341,C00532,P017,Daily Lamp 17,4,41.65,166.6,2025-05-06
T000342,C00986,P002,Pure Band 02,1,28.3,28.3,2025-11-19
T000343,C00473,P005,Bright Organizer 05,1,75.28,75.28,2025-05-27
T000344,C00475,P026,Pure Band 26,1,90.22,90.22,2025-03-14
T000345,C00961,P027,Urban Bottle 27,1,58.77,58.77,2025-10-27
T000346,C00184,P014,Active Mat 14,2,37.48,74.96,2025-01-13
T000347,C00257,P010,Pure Band 10,1,75.18,75.18,2025-02-16
T000348,C00094,P004,Essential Bag 04,1,19.21,19.21,2025-03-05
T000349,C00745,P024,Modern Serum 24,1,62.29,62.29,2025-07-16
T000350,C00045,P024,Modern Serum 24,3,69.97,209.91,2025-07-14
T000351,C00167,P027,Urban Bottle 27,1,55.24,55.24,2025-03-18
T000352,C00748,P024,Modern Serum 24,1,68.19,68.19,2025-06-08
T000353,C00984,P006,Active Mat 06,1,20.99,20.99,2025-03-09
T000354,C00557,P025,Daily Lamp 25,1,91.63,91.63,2025-09-13
T000355,C00488,P014,Active Mat 14,1,40.87,40.87,2025-12-04
T000356,C00285,P019,Urban Bottle 19,1,28.32,28.32,2025-10-08
T000357,C00057,P020,Essential Bag 20,1,50.18,50.18,2025-03-17
T000358,C00306,P010,Pure Band 10,1,83.64,83.64,2025-11-05
T000359,C00689,P009,Daily Lamp 09,1,20.75,20.75,2025-03-24
T000360,C00182,P029,Bright Organizer 29,2,89.5,179.0,2025-10-15
T000361,C00331,P011,Urban Bottle 11,1,37.58,37.58,2025-06-03
T000362,C00067,P009,Daily Lamp 09,1,20.8,20.8,2025-10-09
T000363,C00424,P016,Modern Serum 16,1,40.24,40.24,2025-09-27
T000364,C00542,P030,Active Mat 30,1,23.47,23.47,2025-11-19
T000365,C00295,P013,Bright Organizer 13,2,27.61,55.22,2025-12-28
T000366,C00363,P028,Essential Bag 28,1,84.48,84.48,2025-11-16
T000367,C00505,P025,Daily Lamp 25,2,91.89,183.78,2025-09-12
T000368,C00002,P004,Essential Bag 04,1,18.33,18.33,2025-04-10
T000369,C00819,P019,Urban Bottle 19,1,29.69,29.69,2025-04-17
T000370,C00218,P001,Daily Lamp 01,1,99.82,99.82,2025-11-23
T000371,C00308,P016,Modern Serum 16,1,40.58,40.58,2025-06-07
T000372,C00406,P023,Calm Cream 23,1,44.81,44.81,2025-06-24
T000373,C00854,P010,Pure Band 10,1,72.66,72.66,2025-06-19
T000374,C00140,P015,Calm Cream 15,1,29.04,29.04,2025-11-27
T000375,C00474,P024,Modern Serum 24,1,66.74,66.74,2025-06-21
